,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,1.0,-0.2646391935187695,0.5683968565341606,0.14945625165307097,-0.06223863965920725,-0.3020546909903972,-0.38853988905067244,-0.38083431756792646,-0.38264236721770734,-0.27674388212775336,0.1550354241541556,0.07191913901728102
I2a,-0.2646391935187695,1.0000000000000009,-0.23838836195712157,0.1355116160476041,-0.46225333958850007,-0.09215470348675625,0.0008808218042381417,0.00792807364813447,0.2110363202391395,-0.09009847057636018,-0.06202412846499086,-0.16376661612908483
I2b,0.5683968565341607,-0.23838836195712151,0.9999999999999994,-0.08281121932681844,0.2512640795353232,0.024391671344416985,-0.26556958365141187,-0.2072490147794854,-0.2433632325793646,-0.16466749783483453,0.0351190175876871,-0.2917216359725218
R1a,0.14945625165307103,0.13551161604760412,-0.08281121932681844,0.9999999999999989,-0.6311924350312825,-0.3759508937677216,-0.2853783550453305,-0.2618281770360462,-0.2664889630011255,-0.2320276383230445,-0.01872786732052699,0.3983341952599016
R1b,-0.06223863965920728,-0.4622533395885,0.2512640795353232,-0.6311924350312825,1.0000000000000007,0.12796456313867033,-0.19618031465660513,-0.08225437138394871,-0.21948536347594014,-0.09010123793110165,-0.0754726294981208,-0.4041888338163596
G,-0.3020546909903972,-0.09215470348675625,0.024391671344416974,-0.3759508937677216,0.12796456313867027,1.0000000000000002,0.5510874192280313,0.5925478993856486,0.23631450522829928,0.526995213381134,-0.14396710764069076,-0.3849669396153076
J2,-0.38853988905067244,0.0008808218042381556,-0.26556958365141187,-0.2853783550453305,-0.19618031465660518,0.5510874192280313,0.999999999999999,0.715129584455388,0.6073270660750312,0.6404582086782938,-0.1095043338943712,-0.3010040479060815
J1,-0.38083431756792646,0.007928073648134448,-0.2072490147794854,-0.2618281770360462,-0.08225437138394869,0.5925478993856486,0.715129584455388,0.9999999999999997,0.3223918179049806,0.5277187337344983,-0.10256369378101925,-0.25183014183207364
E1b1b,-0.38264236721770734,0.2110363202391395,-0.2433632325793646,-0.2664889630011255,-0.2194853634759402,0.23631450522829928,0.6073270660750312,0.3223918179049806,1.0000000000000007,0.3868107716886951,-0.14182118671103208,-0.32730850982122844
T,-0.27674388212775336,-0.09009847057636018,-0.16466749783483453,-0.2320276383230445,-0.09010123793110168,0.5269952133811339,0.6404582086782938,0.5277187337344981,0.38681077168869504,1.0000000000000009,-0.11892601222795143,-0.18076793389711165
Q,0.15503542415415567,-0.06202412846499088,0.035119017587687096,-0.018727867320526996,-0.07547262949812081,-0.14396710764069073,-0.1095043338943712,-0.10256369378101925,-0.14182118671103208,-0.11892601222795146,1.0000000000000033,-0.05145750073854633
N,0.07191913901728103,-0.16376661612908483,-0.2917216359725218,0.3983341952599016,-0.4041888338163596,-0.3849669396153076,-0.3010040479060814,-0.25183014183207364,-0.32730850982122844,-0.18076793389711165,-0.05145750073854633,0.9999999999999992
