,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.006883267486525337,0.005560922360485117,0.00596768761498401,0.002887863346151966,3.772012565122716e-05,0.0424761757861388,0.0009659692081188072,0.029727838436815757,1.8735506210518408e-05,0.003995352141147747,0.009667116384837533,0.08787595457141842
Austria,1.8718198616224774e-05,0.0005598424603958582,0.0011270978363023135,0.0021419775612012467,0.0014178232319088816,0.003604778527815977,0.001530249232545457,0.00036911200924651013,0.007325800588921704,0.020815372320310534,0.001181316168029515,0.014146760806491014
Tyrol,0.0006252254991209554,0.0052469406404559585,0.002214345079146799,0.000568884811039553,0.000917328695477234,0.000562908324860419,0.0004901389337020625,0.0002506023211589828,0.006315209749446744,0.04983555262733535,0.010280395655526468,0.0019007440538230615
Belarus,0.009912967316678201,0.027851414622744784,2.257635808829793e-05,0.000527224615364876,0.0027664730367491764,0.0163557137924007,0.03876188306525025,0.005277627565346071,0.0034353676885116678,0.0011940699594313008,0.0018341857626615638,0.0042121457959635655
Belgium,0.0017486704427985317,0.018491392999453016,0.00015883371075628278,5.3282338544079274e-05,0.0013761403471326985,0.00019803508245167371,0.0009241914001124207,4.66874458489773e-05,4.438107631060972e-05,0.00686207019652415,0.00014293801805141977,0.002894618137047614
Bosnia-Herzegovina,0.00021306514857240288,0.03327042904905379,0.060425445670827256,0.009353283778941054,1.0510267704769342e-05,0.0075675129345877026,0.02775745412410595,0.014518189849818376,0.004608493498730235,0.0005508149645508277,1.0302383762288197e-05,0.016840216141183955
Bosniaks,0.000571123934430999,0.03178725570404686,0.06252232234988188,0.009041803347433819,0.0008449370796716707,0.014005178450079514,0.02940591999532052,0.007981927198067514,0.003921994440225073,0.004496466041730736,0.0002571559347196813,0.0021355878790330685
Bosnian Croats,0.002159375121569248,0.030116987830456143,0.11712793388502997,0.022147536983095958,0.0060049454288269855,0.026788410096165834,0.05426736748448422,0.01538749012901929,0.00011484573795669625,0.01669440836522321,0.0082683893041969,0.003148442681867656
Bosnian Serbs,0.00014741072306500208,0.011751624910357665,0.019446941636609864,0.014692713277542443,9.14751025795839e-05,0.0152527182621768,0.0003279334760494979,0.01101434296827751,0.0014258947747428923,0.021939419677524802,0.0006142282844625762,0.05268219103052106
Bulgaria,0.005323175838473603,0.006649552016868228,0.0023049805131678154,0.00944775297290277,0.0006830322654600293,0.0014246452972061546,8.839938118151922e-05,0.008303324634766742,0.0033710169371826914,0.0031436391910899704,0.024031178814702354,0.007789040620237679
Croatia,0.0006841275427885554,0.017538134781222486,0.019135909081094412,0.00787532947836422,0.0006393758805691808,0.007941960528153292,0.001081362796481817,1.3773737632953774e-05,0.0020834969985142632,0.0016267543282739258,0.0003201610453642227,1.6396779810684186e-05
Czech Republic,0.00426234811700733,6.454794946121805e-05,0.0016865739309153244,0.011437563890214825,0.003710593150671772,0.0046545557177573894,0.02592919678743547,0.0007601446177427795,0.004974279939025239,5.3908712030729075e-05,0.005423690494954947,0.009103991425933738
Cyprus,0.07889009024067935,0.005755121468790988,0.02120324598265774,0.0012041017452230802,0.0025475244367186073,0.0007612183098720985,0.004797651945530309,0.007191035534656642,0.014178286079694577,0.0005559369795388395,0.061211857288275676,4.719593555592541e-05
Denmark,0.02026851430035548,0.01450539201858915,0.007593689911849559,0.03044821172760861,0.006251429979394453,0.002029334924923885,0.01076721065028698,0.004905920152793531,0.0022628382235537607,0.012859419821725912,0.00036814239975062335,0.0013120872630356462
Greenland,0.02442081463692679,0.0032117507745439812,3.2487968518369233e-07,0.06319920592348156,0.8523865566253096,0.0055234117111496945,0.004853256424071334,0.001517257085046488,0.006652212056621258,0.005173492638614254,1.2181613490032845e-05,1.933528126048365e-06
