,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.26607720939061363,0.13018777022613967,0.07560249795663228,0.03533389739015567,0.00038237007563146494,0.31861531067154986,0.004524720813943504,0.13715971147787429,6.986635199137375e-05,0.01180068430368402,0.017873064940977595,0.0023728964008068493
Austria,0.0036923197011804777,0.06688233193851213,0.07286414879486734,0.13373714200941106,0.07334239208594967,0.13798187290080147,0.03657740500003399,0.008690477156421005,0.13940551166025808,0.31373179085319103,0.011145266310271755,0.0019493415891021016
Tyrol,0.062162584963010234,0.3159430902427531,0.0721530541032232,0.0179027025926602,0.023917462346891686,0.01086021085004897,0.005905097324932094,0.002973908989688137,0.0605717008760979,0.378591414638859,0.04888676158695334,0.00013201148488204735
Belarus,0.27014850472482665,0.45968092143890105,0.0002016368072030293,0.004547748581581009,0.01977074667138539,0.08649213106248818,0.12800273084838232,0.01716674016496348,0.009031538256400453,0.002486381495486633,0.002390734053468542,8.018589491318494e-05
Belgium,0.12427536322140893,0.7958972925764759,0.003699446808987068,0.001198566745856067,0.025647056928392746,0.0027310358870940134,0.00795892604131374,0.0003960293634798485,0.00030427376451580817,0.037262443192703415,0.0004858630628391153,0.00014370240693334726
Bosnia-Herzegovina,0.004244911824482738,0.40144401220402115,0.39454191834198,0.05898237309726798,5.4912064268833276e-05,0.029256180710801553,0.06701181197429208,0.03452382671030566,0.008857371102917259,0.0008384961747464705,9.817095942118604e-06,0.00023436869897418467
Bosniaks,0.011118734983575573,0.37479033284823426,0.3989120476075041,0.055716259184200465,0.004313672038737313,0.05290806356953189,0.06937057011443508,0.01854739755584773,0.007365828406314525,0.00668860323791729,0.00023944767557750588,2.904277812419628e-05
Bosnian Croats,0.026121809609041927,0.22064649168492725,0.4643577327757333,0.08480129344886739,0.019049429208824995,0.06288257344987046,0.07954802379071331,0.022217395909022417,0.0001340230985857939,0.01543068826653283,0.004783933550458986,2.660520742135704e-05
Bosnian Serbs,0.006015117722017772,0.29041784789967595,0.2600658928779097,0.18976623148936161,0.0009788489875398143,0.12077318093916868,0.0016214974935472432,0.053644333154104766,0.005612962464498413,0.06840365209328951,0.0011987646344314934,0.0015016702444549195
Bulgaria,0.3271018324812369,0.24746562437202382,0.04641907225996373,0.18375644018233941,0.011006547706689414,0.016987407908129668,0.0006582287751031247,0.06089959202299952,0.019983092788659177,0.014759918450376514,0.0706279003679716,0.000334342684506894
Croatia,0.030744501958323768,0.477335920230163,0.2818360341454021,0.1120213994241159,0.007535019348816777,0.06925742059713506,0.005888670918857217,7.388093677799491e-05,0.009032601937390835,0.005585878133016767,0.0006881576338824744,5.147361182117511e-07
Czech Republic,0.29737703891879813,0.002727415429296821,0.038563898625821005,0.2525770715836552,0.06788902795376969,0.06301514662162198,0.21921135876476655,0.006330017946317109,0.033479452255115644,0.0002873800199812093,0.018098495335164697,0.00044369654569200194
Cyprus,0.8192196472260704,0.036194512179799146,0.07216012745418893,0.003957700876385218,0.006937356312030293,0.001533893949110868,0.006037013109260091,0.008912910425984416,0.014203364978729633,0.00044110559709574824,0.03040202553514507,3.423562002871994e-07
Denmark,0.4375525715773812,0.18964793670802418,0.05372522179195952,0.2080520457400201,0.03539039679350464,0.00850100470010328,0.028166118940918406,0.012640929259346253,0.004712500796863608,0.021211373859217206,0.0003801134348617468,1.9786397799740637e-05
Greenland,0.08952641442350824,0.007130881316278751,3.90328832847245e-07,0.07333385916743101,0.8194554943832844,0.003929222860238253,0.0021559553201707334,0.0006638965605078362,0.0023525926429646274,0.0014491521256069129,2.1359196712068565e-06,4.951505086394745e-09
England,0.3356104425644933,0.5600207663110576,0.01983559274412283,0.000570078200159665,0.012883966266425531,0.0029675943440657837,0.002937645915981989,0.00033900210194203584,0.022041953914750823,0.01854034890567358,0.02414827332690105,0.00010433540442563907
Estonia,0.27090122326739347,0.2538267526719749,0.23689085263587098,0.03894857945122418,4.616857022202284e-05,0.018143817107880357,0.00344373439781378,0.1268857787340021,0.04120487934807376,2.2574906894602717e-05,0.009652103955416979,3.3534953232740207e-05
Finland,0.3758388145999845,0.06197983750991905,0.1345293352225237,0.06518077455387047,0.001980474337047774,0.04563334911628885,0.29668808686680465,0.0033442369709507226,0.005102545212037443,0.008825024353056807,0.0008905118595563608,7.009397959623137e-06
France,0.00114769516385584,0.9008578928811206,0.014200483596300424,0.0141368922725007,0.010747054585757324,0.01468902502528252,0.007030945707965339,0.013888792356466579,0.012822712152957539,0.010093643784007395,0.00038364739622505584,1.2150775606357162e-06
Alsace,0.1519273458370236,0.4214980243669328,0.04411773105260325,0.005869083439827571,4.0525250693573454e-05,0.01882285159267536,0.0005367443645419251,0.34018767567977537,0.00671566384048119,0.00836430498042345,0.0019096500249602922,1.0399570061781994e-05
Auvergne,0.5804584959571834,0.08575748439445344,0.057720235942234306,0.05294762295716359,0.00015509680727129397,0.02305639140860453,0.0025759133066648055,0.09365929082281055,0.002613878154855673,0.0008497024427950932,0.10016394469580041,4.194311016291504e-05
Brittany,0.19464121907142629,0.6013567946939514,0.05695954383091239,0.052318387161698184,0.007606601822123844,0.005070270611373939,0.0005016446685009707,0.010619038527516686,0.006995416325965561,0.04720675419888216,0.016721398619066935,2.9304685815582015e-06
Corsica,0.11665936314414622,0.020379597499329244,0.3106956605402614,0.07254958282701932,0.0002328300403288063,0.04131988145082561,0.019384579491816746,0.0017383315616606209,0.09092502921856035,0.08999284866867346,0.2359206749237586,0.00020162063361959232
Flanders-Artois,0.050915535943019556,0.2944130819518449,0.12598661300621003,0.0911948498340463,5.981400042856981e-05,0.02856966118061782,0.005851501929801135,0.007840383162019203,0.04565712189655613,0.3130115428129392,0.035990157065519994,0.000509737216997149
Ile-de-France,0.013676984296226134,0.1342021427128149,0.29570628180852143,0.09176399821401711,4.993521479270953e-05,0.21293681381930854,0.029058975886953987,0.13119031353372718,0.06319986493208643,0.0012129420699211627,0.026804730723656744,0.00019701678797359439
Midi-Pyrenees,0.1298818687394884,0.25560445312750424,0.019865829056949738,0.10578115007088648,0.0004031841614745098,0.08068504952251666,0.005155879898967623,0.2084825041267964,0.07500784636985962,0.09814300090025745,0.02063677998409458,0.00035245404120438114
Normandy,0.1679904727514301,0.30099658701303567,0.20507292904319688,0.17199705232240864,0.012103687588421957,0.0052891638480113395,0.001789288412977618,0.03503133012635801,0.09216244979350949,0.006826740732920992,0.000710526276858693,2.9772090870506966e-05
Poitou-Saintonge,0.00022055718012285174,0.19437681610818977,0.12375248283736588,0.39440379020956756,0.010483764053929541,0.0688924478247597,0.00027612467452335713,5.7863314043151005e-06,0.019934541848277906,0.16101555228059503,0.025246694880968257,0.0013914417702959874
Provence,0.1394703070471698,0.20971762210506437,0.10516008351731042,0.2319606272154384,0.055170965914391704,0.022930168906986872,0.020967547618736884,0.00017891156418378744,0.09943433328053539,0.11295904562895563,0.0009116552040644674,0.0011387319971623972
Rhone-Alpes,0.16972483419212603,0.48266686698500116,0.10140932132275612,0.06296118837413989,0.09793663043369932,0.017184610783081127,0.010635906747061144,0.0009398201431207602,0.04133788344257126,0.013976050311574876,0.0010167966526755923,0.00021009061219282493
Germany,0.32851341386807315,0.4219281881434322,0.038376186495274085,0.08609226785245405,0.07495729133268933,0.0004008292184173927,0.014284420478308111,0.004917739216491042,0.021936246176430953,0.002386117019163492,0.005975904373734704,0.0002313958255315755
North Germany,0.28812674885075934,0.2420610226499738,0.08394159148583581,0.2193468489343539,0.05027071090283116,0.005416592193240946,0.012064894210115773,0.00022377792372053174,0.0053467900611263615,0.08527311738190303,0.00790363267991153,2.427272622758815e-05
East Germany,0.43205358846416747,0.17258171079056073,0.04738172250584733,0.1760037382211852,0.07638287954413765,0.0006663321894560562,0.06622906339256086,0.0028678983246367092,0.016871901468986424,0.0045027284232252674,0.004423223932457617,3.521274277851267e-05
West Germany,0.10727495144249567,0.482827644151852,0.013443830883282649,0.11021469708053411,0.07945133299778831,0.004099593661157931,0.0012988983034365128,0.019680169001079394,0.06298006531890149,0.10586842853688685,0.012814980241806287,4.540838077883197e-05
South Germany,0.001592149378639069,0.6063226482847877,0.010483050778829543,0.0016392108890028413,0.03975610546854318,0.08056242058909958,0.00021298748146277035,0.029926600841803232,0.14143732321020058,0.07320169810842474,0.012829847999760662,0.0020359569694460974
Greece,0.7689660758783915,0.05214061494571075,0.058769481037894526,0.03839212020893923,4.4420189498185296e-05,0.04523307044607178,0.002081918285013239,0.014195976370016277,0.00650975229743216,0.001020903916429699,0.01252391714014766,0.0001217492844550406
North Greece,0.5218754052051724,0.2312946638019559,0.0095695746541578,0.07581071138425005,0.0023197685729456833,0.054219749562055546,0.006285852856435121,0.04769728298577723,0.04102324695292332,3.1745288222880547e-06,0.009698981212091704,0.00020158828341283595
Central Greece,0.5991543452751109,0.01338644979092843,0.05399178371912707,0.11021573558417366,0.007300004689035502,0.11531089542315426,0.0061536805434238145,0.01222622586266821,0.0008683819577658803,0.07023594967937687,0.011102432865864518,5.411460937084761e-05
South Greece,0.4917062309856437,0.0828791895769237,3.789105560516288e-07,0.010961611707632359,0.00044137176543823176,0.3007551787291801,0.025427803837080914,0.07273075666954891,0.005101849162015348,0.001984116306910962,0.007958122261412855,5.339008765677443e-05
Crete,0.7017785802701665,0.013941415641896172,0.13467459285707864,0.011291097866296885,0.003877702972801715,0.011466299985955804,0.004102268252347974,0.01378032075841843,0.012684176371137388,0.005176217472442066,0.08689575303351289,0.0003315745179456605
Aegean Islands,0.6975965176131781,0.001378342045686025,0.12762150718662732,0.030064260934115166,0.0017819972283087241,0.033519177837410145,0.007801872333853908,0.0882508963597055,7.472621101090427e-05,0.01140684965925551,0.0003710492005590127,0.0001328033902895018
Hungary,0.045967236878836824,0.2071477985441688,0.0036457143337967875,0.09742579668914293,0.04072633492304251,0.20139148913474406,0.03059650206028327,0.30429325302991145,0.03225389071772656,0.0006675849858592552,0.03542210436939334,0.0004622943330941171
Iceland,0.6702763060802785,0.1115098862220805,0.02829911685498829,0.06572890952863668,0.01717931512012117,0.004021735426630393,1.7391990698133068e-05,0.012539034900380174,0.06617754364721312,0.022954524304765793,0.0012897520991811593,6.483825025955659e-06
Ireland,0.23760665699584735,0.5139710511520691,0.0803016731356134,0.04195196705477134,0.01126884075279809,1.025268004200189e-05,0.0036917184097364575,0.003123252939594155,0.0029193494693014865,0.09164657460376618,0.013508607651818588,5.51546420745026e-08
Italy,0.7690369272320647,0.11259907262610691,0.05940130680017978,0.00022072384401014057,0.002258984461722335,0.009084391466191308,0.0017159161313556577,0.005879084329398661,0.03758630529738493,0.00043661887256091805,0.001583930476695672,0.00019673846232913552
North Italy,0.2086386183251193,0.6334381524466752,0.02444855699023431,2.408546164630954e-07,0.028994040635708148,0.00024050436350962038,0.0013430406716093814,0.005335217815241742,0.09172807019124894,0.002479951563790812,0.0031890048102958903,0.00016460133195002834
Tuscany,0.40017286697759763,0.3800102581529461,0.016876017140305583,0.04727925295849665,0.0035290738413578967,0.06098357087654345,0.000903315262900024,0.000831003577663836,0.07262296135407317,0.010387021604513458,0.006404217892024417,4.403615776716765e-07
Central Italy,0.7858918399090993,0.018660724960156926,0.09777766164864918,0.0020808525761114244,0.001535855146871895,0.04457928342085944,0.006168437101166489,0.029951942669888695,0.0011744919032230495,0.004266967234613327,0.0078111434579892555,0.00010079997137098322
South Italy,0.8655972386866474,0.00023765928251252215,0.03856564868914538,1.8927267876976755e-05,0.0019142303246069393,0.0005591285303061778,0.0029591886654832403,0.03682969334376011,0.02901943971213625,0.022631259302524104,0.0013188963506885981,0.00034868984431224594
Sicily,0.8833800805191501,0.001632098355351014,0.06760874740800091,0.0028655253272846285,0.00987868232512242,0.024923235498034803,1.7321984049618557e-05,0.00018445218754123955,0.00018541365010165368,0.0055305095531193865,0.0037666345684630106,2.729862378136702e-05
Sardinia,0.3276323495018861,0.0158192330516593,0.06282715713430174,0.033254979325918865,0.01120563353718923,0.3347379597837905,0.13727290650186122,5.2046067680148435e-05,0.06840936224298218,5.5981557909446985e-05,0.008675009597648971,5.73816971724847e-05
Kosovo,0.07158661224161218,0.05232596916962459,0.10695760835294511,0.0040573700079023535,0.0029874466152572513,0.6285992070681528,0.015268437136777667,0.07365326363455917,0.025679630294720084,0.011324281128506593,0.007558654485827128,1.5198641152491683e-06
Latvia,0.4795775305295663,0.28815801487724296,0.09527793694375618,0.11141057761785465,2.9418175270208752e-05,0.0013508708762547392,0.013361860119638507,0.00030630562483962296,0.0010194869128623853,0.00945330058923934,4.511594533380313e-05,9.581788141173906e-06
Lithuania,0.45494456115935694,0.36023430823540403,0.07497895733025468,0.08813102688457891,0.00012958906874548174,0.0016351589195586884,0.0001925149450700216,4.3114911311222395e-05,0.004631005603140404,0.01506128948255783,1.734705741554981e-06,1.67387542801346e-05
Macedonia,0.3157057362193512,0.32818185537480404,0.14049701464288014,0.13272142545663174,0.0026212022007431044,0.04746959026594504,0.0012705370638653232,0.022382559207754747,0.005693367857978593,0.0030296064909381046,0.0004258543626267101,1.2508564813447292e-06
Malta,0.6389819666185288,0.0012098053969822487,0.0720507109039231,0.0007402920420598491,0.012914577950053071,0.06129979421996154,0.026839191455752004,0.022259705257376028,0.12294647067150698,0.03225923852313589,0.008497129198422444,1.1177622979981759e-06
Moldova,0.004405898459252253,0.21983539769481417,0.014057877461120749,0.1308506372879151,0.0412346058802738,0.05207676901486838,0.02172211604216785,0.1211981986320917,0.08467234257158,0.17909766788343753,0.1305512409436876,0.00029724812879078973
Gagauzes,0.20061877660021404,0.007400539266548016,0.021200627384126883,0.08973131478806028,0.05544743290563284,0.2502385722438785,8.321990101393533e-05,0.11268722525607122,0.21617969771553192,0.009266226930767524,0.03666452906515871,0.0004818379429960652
Montenegro,0.010960928204472283,0.20070505116310858,0.3921968892052717,0.13717481365654613,0.0005231610462801831,0.14683752646509282,0.026080258965655596,0.023854013577488897,0.05709270383583571,0.0007500139956306396,0.003793988613743841,3.065127087338055e-05
Netherlands,0.16327821704925388,0.5830706858409219,0.014813579787283164,0.08059362622591389,0.0668324033067703,0.00048529269915257255,0.012551808162645771,0.00040550399181516817,0.01189634073890282,0.05374445579757029,0.006583283239777311,0.0057448031599926855
Norway,0.624710402000115,0.08105604152773244,0.06416013711620533,0.12919159470559494,0.028026862953168964,0.003634371011371273,0.00040176764509837503,0.013201072857043628,0.027837268389457707,0.02602019133115257,0.001758903710004453,1.3867530553666493e-06
Poland,0.3526632977322605,0.19491656637003454,0.028546834658377568,0.016876991437317967,0.024610628815735704,0.033568539377584486,0.33113135857760934,0.002009154663777726,0.009607235205791188,0.005916212033610474,0.00014394748017616612,9.23364772422419e-06
Portugal,0.49069280742401916,0.3497353410941654,0.0007596830698565288,0.03275779675513043,4.115491962738011e-06,1.918805059197282e-05,0.0006844482067614428,0.0006952498553133296,0.003568290639156625,0.08524449320321559,0.03555865110137938,0.00027993510844742897
Romania,0.06700239767667837,0.2614346628773193,0.15980483020619307,0.28415096012525143,0.03363794547453014,0.01463083710868607,0.002093620235286752,0.06128653594742552,0.05344659534364268,0.0012336959615024924,0.06050323182954837,0.0007746872139358321
Russia,0.2765303790919519,0.5307881226886864,0.04316484819268307,0.027961692298563344,0.0006276881350075707,0.017210072431400627,0.07412719076948153,0.017915329141244676,0.00891556415354416,0.002680088681432858,5.593511315201028e-05,2.308930285193849e-05
Bashkirs,0.3434099121406569,0.062023049050415384,0.007921078959178323,0.4516855654154306,0.006982735018399661,0.009258929173959374,0.0782638968323782,0.00933242846576914,0.014912845281524185,0.0016169030178555084,0.012996153573660798,0.0015965030707721158
Chuvashs,0.07067391307730587,0.5897382507128142,0.049790258021149815,0.03942391435984253,0.002832630997053827,0.07210816176563478,0.001048326264422703,0.16073163072855018,0.00039271495060517347,0.0005444736407588437,0.012475306228273109,0.00024041925358909513
Komis,0.3186408832104922,0.33487487024815266,0.03900667586154153,0.24700724092603205,0.0024964307604899818,0.0067553764091141015,0.004815551561078369,0.0036836554862453037,0.027741536434427783,0.0142688732849812,0.0006909333936363603,1.797242380855154e-05
Maris,0.26570988167861337,0.3313927636973381,0.12482199091080695,0.21928428942934688,0.0015549736287739763,5.130092693663368e-07,0.014011995103182856,0.0035533635891336493,0.02464293117838918,0.014970864497197029,1.7942941811688337e-06,5.4638983767589913e-05
Mordvins ,0.19144562293554568,0.17036040557283283,0.1185045031336514,0.018284174979382145,0.031552958200688284,0.013096626260414346,0.1501685118658995,0.096064221334589,0.05250046927453519,0.0002098881157453896,0.15729938987990866,0.0005132284468076437
Tatars,0.09006330353728698,0.10254055596087132,0.37379222258195594,4.3348827539318645e-05,0.0018672839729634893,0.00019295340957796399,0.013878541024457784,0.3506082843809963,0.03144786383148328,0.03472851021151512,0.000498358607375398,0.0003387736539771694
Udmurts,0.24860699150039864,0.18338261586367663,0.07388055385546528,0.3107518943948256,0.005548735694403449,0.005074581095214008,0.08540179686496374,0.0003891651607636442,0.04436851141773935,0.04138119347590414,0.001213845985998513,1.1469064694920893e-07
Scotland,0.3567576643166101,0.4373460061184139,0.046827943799978955,0.03996095978563696,0.005110926984684141,0.0004401416131100121,0.01259898364994452,0.00010387485115110358,0.042595431733334986,0.04352803729093994,0.014725350882216184,4.678973979320987e-06
Serbia,0.00045618517298014346,0.47010879117710586,0.3041999562389663,0.1298195222759579,4.254563065645257e-05,0.028184666168080113,0.03105944126549965,0.003681931719335076,0.0024807634592402855,0.029174231072191973,0.0006563541103047318,0.00013561170968149868
Slovakia,0.21444870831817855,0.33096783469933444,0.0012867580588872387,0.030670384075727822,0.03269045348641495,0.15468112975815884,0.18756005662547715,0.003070745111214784,6.907278690795133e-06,0.020421360425956533,0.02414258039634301,5.3081765615968514e-05
Slovenia,0.34234833961401895,0.27697111045081935,0.0321683377444056,0.04900017106701343,0.04068807136347051,0.0508889430951283,0.11649965903225487,0.01817834762788721,0.05407215350005665,0.01882201909676992,2.430249750033822e-05,0.00033854491067483803
