,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.8043799747217615,-0.7229984107075208,0.7489743892874422,-0.5210174224901551,0.059545711946498325,1.9981893113258928,-0.3013322179309207,-1.67165092440398,-0.04196590978149682,-0.6128320334870626,-0.9532622620112097,-2.874080675574945
Austria,-0.04194652154738374,0.22940181184378355,-0.32549530966270074,-0.448715824050052,-0.36506901237907724,-0.582107534408121,-0.37926696120183334,-0.18627004286565232,-0.829834474674703,1.3988012718428555,-0.33323223102631355,1.1531676009193788
Tyrol,-0.24242771482932765,0.7022908373336934,-0.45623287632501797,-0.2312469940079611,-0.29364757341898806,-0.23002909063177074,-0.21464635978276891,0.15348165424227217,-0.77047369614283,2.164380268568701,-0.9830346848506862,0.42269367284047177
Belarus,-0.9653076855426723,-1.6180336753411562,-0.046067099542949366,-0.2226187634596382,-0.5099494734328319,-1.2399343113591406,-1.9088260811644218,-0.7043415301844204,0.5682645182660069,0.3350262320871938,0.41522700019409503,0.6292389886367303
Belgium,-0.40543189517237294,1.3184046958155842,0.12218988833406216,-0.07077103802505268,-0.3596626094417846,-0.13643788971710655,0.2947439424493191,-0.06624665961242021,0.0645896367321981,-0.8031404599902,-0.11591451029458502,0.5216264035518866
Bosnia-Herzegovina,-0.14152075454083005,-1.7684513933413766,2.3832733567632904,-0.9376612795783236,0.03143191314966873,-0.8434134311541666,1.6153020422403852,1.1682079634563907,0.6581780829537263,0.2275447355307914,-0.0311195127477133,1.2581654570330931
Bosniaks,-0.2317016396931923,-1.7285838238802318,2.4242727364900376,-0.9219162188934411,-0.2818227909327722,-1.1473825753895142,1.6625752553072985,0.8661992591882923,0.6071799382235523,0.6501290702027477,-0.15547558606948567,-0.44804604744279186
Bosnian Croats,-0.45053441758372836,-1.6825566427502157,3.3181358901034805,-1.442868142420166,-0.7513087716177261,-1.5868555539303468,2.258568693562699,1.2026737180664644,0.10390139252160892,-1.2527068237744143,-0.8816056911082804,0.5440161873469941
Bosnian Serbs,0.11771409417784345,-1.0510246151130906,1.3520401302629028,-1.175208512600632,-0.09272895794993538,1.1973953050870956,0.17557262528268125,1.0175206332149171,-0.36610669049586064,-1.4360729263123553,-0.24028620172511397,-2.225337268116674
Bulgaria,0.707374390840182,-0.7906060267830073,0.4654762810689441,-0.9423846239476006,-0.25338712073276876,0.3659462500660152,-0.09115668835067894,-0.883466193845624,-0.5629170383770357,-0.5436010338129033,1.5029739879924806,0.8556692224816445
Croatia,-0.2535901989867199,-1.2839722229997477,1.3411843473672345,-0.8603958222621939,-0.24515573167581253,-0.8640279449453064,0.318822996142516,0.03598237537319701,0.4425479836812509,0.3910433567492856,-0.17347950387361885,-0.039259359421726606
Czech Republic,-0.632977663901886,-0.07789420549279963,-0.39816824271410756,-1.0368852422906758,-0.5905893295371551,-0.6614591729420605,-1.561199698315028,0.26730805088478216,-0.6837999080640276,0.07118580568405848,-0.7140216428973039,0.9250811824038858
Cyprus,2.7231725032806606,-0.7355143901150765,-1.4117737504181849,-0.3364306229387711,0.48935395885958566,0.26749676844398934,0.6715499109372655,-0.8221662485517903,1.1544517709680602,0.22860025388579713,-2.3987318701968157,0.06660644069650463
Denmark,-1.380304438967511,1.1676929603912922,-0.8448709083131332,-1.691783645267683,-0.7665731654989486,0.43675792258738155,1.0060406558022275,-0.6790850420695421,0.4612014668385754,1.0994477992347957,-0.18602522833357468,0.3511925436642281
Greenland,-1.5151094270286614,0.5494584359231681,0.005526182263305028,-2.4373603255996574,8.951219823173773,-0.7205558277108521,-0.6754303101450996,0.3776534999101291,-0.790764145192736,-0.6973580916786869,0.0338389076074138,0.0134815297295428
England,-0.8456266011913282,1.4036466900610698,0.3591079157646633,0.061947984800859064,-0.3235465886205689,0.18051324359794435,0.22727564043204823,-0.07779236927870341,0.6977360234394836,-0.7190354548950387,-1.0371926178035202,0.5641296282694929
Estonia,-1.0175019223465767,-1.2655907406995113,-1.6620549733342687,0.6857639158423966,0.02593905201419667,0.5977780778416325,0.3295617819916875,2.0156314672658775,1.2776422824829878,0.03360262380527927,0.8782056417701319,-0.42833223767004674
Finland,-1.7399426181388586,-0.9079337586922321,-1.8183776819633204,1.2879319950394816,0.24664360111233144,1.3763255810735293,4.440955566705673,-0.4750699195022857,-0.6527287455174581,0.9645450528835853,0.38726605983962487,-0.28429984577992523
France,-0.030442602743948048,1.0959518781324045,0.18705165504211457,0.18990856038459444,-0.18191326305973146,-0.24723553351314284,0.21645500869519543,-0.3065318786636799,-0.32761490236662427,-0.3266050850999984,0.08048039592461238,-0.037477676587171785
Alsace,0.4473855417438115,0.9575392339752995,-0.4211259824231148,0.15629611174139924,-0.01426848807166256,0.35748068181219883,-0.07639061016027367,1.9377518361802764,0.3028402814208154,-0.37976011470200943,0.22934872646134025,0.1400470019528155
Auvergne,1.1869444740470405,0.5862402999746952,-0.6538081786006825,0.637187303069466,0.037887624609087435,-0.5370149596342318,-0.22714474870456625,1.3800510410266187,0.25644408340289926,-0.16428908120534505,2.25452989668883,0.3817484536377953
Brittany,-0.7328551642513852,1.6552427425232248,0.6925090911882792,0.6753470092019651,-0.2829092961222123,-0.26851108118415346,0.10687868650781616,-0.4954710026273196,0.4473142410247498,-1.305669518747432,-0.9821832346523465,0.10758988257510964
Corsica,0.4277544479696893,0.229735109298971,1.2193933174951417,0.5995856855709432,0.037316883983302684,-0.5779099423822324,0.5009047944675098,0.15113879001499977,-1.2158546370724994,1.359155615784209,-2.781462484270485,0.6728284940399943
