,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,-0.05609432480521594,0.4079678493842531,0.28244731487221464,-0.5159283503818161,0.667505745818966,-0.16237558928501672,-0.09643347757262735,-0.04332315282894278,-0.0321104591097963,-0.00630034336233475,0.001603182569036196,-0.016664399699768174
I2a,-0.46346104278417327,-0.634849976203437,0.42132066662667084,0.43787350117542645,0.10168684984430464,-0.012746849522510298,-0.03752582065786962,-0.027248267444039596,-0.009080543053807526,-0.006793594871465763,-0.0022521994847377927,-0.011748526836474156
I2b,0.27254467219487233,0.12414841738999065,0.30388316670125415,-0.4358004033247969,0.3352505686712282,-0.1020251898364555,-0.10437721231361793,0.2227353479854022,0.6445732712073002,-0.10697476727105269,-0.08200397728489979,-0.10530396786972959
R1a,-0.7241943763896063,0.361363066587965,0.3806310601744982,-0.21051084018170774,-0.39170447058244506,-0.039054516573900286,0.010678061716251566,-0.020778448228564658,-0.01009833087684461,-0.006032987944257088,-0.000876233208676134,-0.011039385928319156
R1b,0.9852714045975509,0.10803223453086637,0.08636281183637155,0.07345569524143182,-0.06273079946061712,-0.021462867754592194,0.0012296668949025446,-0.015493961747191773,-0.005471922599593226,-0.0032899296470041864,-0.0005886163564891051,-0.006043697974115893
G,0.2237372411314751,-0.3972292260722436,-0.3490927568839826,-0.1746391508757597,-0.13103420225543755,0.2878456349756129,-0.37769804541379826,0.6087298153714222,-0.11564265257257379,-0.10308202983471125,0.00893395566196831,-0.04974119075834393
J2,-0.06995238283815361,-0.5689820211949809,-0.6498328683234155,-0.26229306108059347,-0.1727157428194868,0.19688443570988934,-0.2679223814288956,-0.19462442163471463,-0.009372634747265272,-0.03887203142057528,-0.005445152600292972,-0.020047679224693134
J1,0.011201512733976885,-0.4281302167336018,-0.4524530342996745,-0.12209810010861218,-0.17222741748037307,0.3182641956002873,-0.32626053299102964,0.07908141532503121,0.050532520490206526,0.4619225142569163,0.35404547130486164,-0.10967689642094644
E1b1b,-0.11267019541111399,-0.6818513610242821,-0.4935753958681605,-0.1145597867697303,-0.1085199187978098,-0.4201125290321858,0.276808304026836,0.010027456940063026,-0.015849243195219784,-0.0072024243179386604,0.0030394544719752215,-0.01835003482864753
T,-0.00012287200078766277,-0.33330996934355744,-0.5015510019731995,-0.18376016095779743,-0.13143739248614253,0.14170085014019598,-0.22744961417849796,0.126071059107872,-0.08555038969780254,0.3986414270260867,-0.5731316812736087,-0.06234826618452841
Q,-0.04251934537000631,0.038599203580129526,0.06488547931493516,-0.1858243142100794,0.28359959832579856,0.63886736749961,0.6827835988912506,-0.0387006793962361,-0.021967506884363868,-0.017587254704204375,-0.004431326555711485,-0.02963874332474131
N,-0.4906992365923253,0.7130624624991275,-0.289154117917917,0.4033116154311753,0.0548835778434717,-0.03256901554484483,-0.002961277953952119,-0.014562808025549124,-0.005578699226694944,-0.006895054490615027,-0.0009264212574590305,-0.010606902412593606
