,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Albania,-14.574572006609717,-19.489281683383787,-14.305851604090508,-4.400619689247623,-1.3641322134462452,-5.186022236723658,3.8356741981800844,-3.9485872390651346,1.7258449562251785,-0.5098294814209463,0.9877989606040782,1.5515277873669373
Austria,-2.3472554262934815,0.1948541712262437,3.939669775528694,-7.910239639583928,-0.7653805132778815,0.7685761290654696,-2.8680885379273637,1.7927090262070484,-1.1647792345803636,-1.5163490134030702,0.3216550039972879,-0.5172500683777554
Tyrol,9.59654003863548,4.825246789011522,2.650417625905554,-9.916183360181144,2.6202201830507823,0.9826099905992339,-4.074925448439403,1.052490825013619,-1.7632674023047965,-2.1245514534875283,-0.16718469478886883,-0.027669275623303458
Belarus,-41.31440116100559,8.22282179408835,18.68061785435535,-5.219132876339023,-16.320518160578914,0.20239024009080325,-0.0026997982182789468,-0.495839121442559,-0.5505563558189308,0.18287630537379318,0.8540034780206143,-0.3007483490738294
Belgium,29.385203627054317,4.773015964483762,4.482869044524522,0.1529469308871283,4.110942949736455,-0.5339193691740917,-1.2630068096916804,0.09535072948416379,1.2522355771179647,0.019503590733165266,-0.02652128190657059,-0.3527332668504941
Bosnia-Herzegovina,-36.87911393376578,-30.715924905960605,19.162101265464916,21.22371669246101,9.138475924836433,0.5384362543227166,0.24023100791784102,-1.330218132086383,-1.1041792731880549,0.1391039895536732,-0.550601689859805,-0.5944702331318334
Bosniaks,-37.31484806771483,-30.675737707886352,21.409957211431777,20.263571764526333,9.25105202430692,0.6566297987247567,-1.811068032685114,-0.7859652903265382,-1.0673395197722428,0.0705117074168895,-0.11653989633462183,0.3321539658366641
Bosnian Croats,-39.7651969257643,-39.64741860473934,27.70221517740557,31.658479748049704,12.10287243112586,1.1053119409869128,-2.2462368252452345,-0.7730737905762061,1.3627827333472018,-0.4202227271365291,-0.5961746861156436,-0.31452736783883717
Bosnian Serbs,-29.32490985461593,-22.939228377836482,1.1315824176123968,6.807613747622596,3.885883131364671,-4.452342618426849,5.74745709232132,-0.3612992533624504,2.026469952435907,0.15691751320945996,-1.2995896394576196,1.1099784190457462
Bulgaria,-23.28620531731051,-17.923585021262927,-2.75661721404194,-1.9291433315631592,-1.1583592668449985,-4.990595117871172,3.7810800976884913,1.8758651260276518,0.44405796894991384,0.6722547861709907,1.1845666647347792,-0.5876893311213809
Croatia,-31.242700812508424,-18.17136702958786,16.062427984468222,7.031798251940689,1.0682763719076935,0.6371911306498466,-0.8268139185976098,-0.934293049161345,-0.46846754036027927,-0.12325744323708454,0.3107685167236087,0.07504816385598789
Czech Republic,-16.733192732049623,3.603588854833005,12.114581168252734,-11.56000096000064,-7.56614772085595,0.9402043100020078,-0.8203991599346441,1.249630385094428,0.6245434856036982,-1.4052566693544892,-0.568408053366728,-0.480985465308313
Cyprus,-17.523483322493163,-23.765403154498454,-26.999975213658082,-8.53691591082022,-1.0009815658009922,8.341880247726834,-8.852298636491144,-5.240912551209801,-0.07137599035186637,-0.2631514105267978,-0.1380703428379617,-0.004032655171249733
Denmark,0.7369649784126462,10.825296749977285,9.934002916895118,-17.129675296556407,18.062794704308878,-3.5164687677536297,-4.59498200087279,-0.867986308832478,-0.0906694500670932,-0.48777444382526586,0.5405909820011678,-0.17317376095445036
