Code,Country,Industry,Transport,Residential,Services,Thermal,Nuclear,Hydro,Other
AT,Austria,32.31,32.16,25.22,10.31,34.76,0,60.15,5.08
BE,Belgium,31.51,29.03,25.28,14.18,49.96,32.35,7.78,9.91
BG,Bulgaria,29.33,33.26,25.98,11.43,45.6,18.86,30.39,5.15
CH,Switzerland,18.33,34.6,30.05,17.02,5.24,18,75.91,0.85
CY,Cyprus,13.19,57.14,16.48,13.19,94.07,0,0,5.93
CZ,CzechRepublic,35.32,25.36,26.69,12.62,58.77,19.43,10.95,10.85
DE,Germany,27.95,28.58,28.65,14.83,49.18,13.04,7.02,30.76
DK,Denmark,16.59,35.29,33.45,14.68,72.14,0,0.07,27.79
EE,Estonia,20.21,28.01,36.52,15.25,95.86,0,0.22,3.93
EL,Greece,19.03,44.87,25.4,10.7,70.11,0,19.97,9.92
ES,Spain,26.79,42.71,18.9,11.61,49.58,7.29,18.21,24.92
FI,Finland,47.72,20.44,23.82,8.02,63.8,16.2,18.84,1.17
FR,France,20.97,33.77,29.56,15.7,22.99,50.71,20.46,5.84
HR,Croatia,22.66,33.83,25.78,17.73,46.13,0,51.95,1.92
HU,Hungary,18,27.21,35.37,19.42,73.95,22.19,0.59,3.27
IE,Ireland,16.67,40.54,28.13,14.67,74.85,0,6.22,18.93
IT,Italy,25.59,34.57,25.86,13.97,70.11,0,20.21,9.68
LT,Lithuania,19.44,33.48,34.13,12.96,71.04,0,24.54,4.43
LU,Luxembourg,17.52,61.21,11.45,9.81,29.95,0,65.82,4.24
LV,Latvia,18.73,29.44,36.74,15.09,37.19,0,61.63,1.17
MT,Malta,11.36,63.64,13.64,11.36,100,0,0,0
NL,Netherlands,28.3,29.75,22.78,19.17,88.97,1.91,0.14,8.98
NO,Norway,32.61,28.24,23.07,16.09,4.88,0,93.64,1.48
PL,Poland,24.6,28.13,33.6,13.67,89.66,0,7.02,3.32
PT,Portugal,30.47,41.66,16.85,11.02,52.18,0,26.92,20.9
RO,Romania,31.47,22.87,37.05,8.6,58.45,7.09,32.51,1.95
SE,Sweden,37.33,25.63,22.4,14.64,23.9,24.62,45.9,5.57
SI,Slovenia,26.34,36.83,26.34,10.49,39.49,20.86,39.27,0.38
SK,Slovakia,37.99,23.14,20.17,18.69,44.4,23.11,31.95,0.53
TR,Turkey,35.31,23.3,33.02,8.37,65.18,0,31.97,2.86
UK,UnitedKingdom,20.12,37.44,31.79,10.66,77.83,11.63,4.7,5.84
