CountryCode,Country,AviationGasoline,Electicity,GasDiesel,KeroseneType,Gasoline,LPG,NaturalGas,OtherKerosene,PetroleumKoke,SolidFuel,FuelOil
AUT,Austria,,19.36,26.44,2.43,5.58,0.39,16.34,0.01,0.14,4.12,1.1
BEL,Belgium,0.01,19.99,31.42,3.76,3.54,0.61,27.62,0.2,0.16,4.42,0.27
BGR,Bulgaria,0.01,26.99,17.71,1.94,5.04,5.04,13.16,0,1.32,4.21,0.48
HRV,Croatia,0.02,22.3,28.03,2.24,10.55,2.78,17.09,0.02,1.86,1.99,0.62
CYP,Cyprus,,20.88,22.26,15.46,22.87,3.64,0,0.78,6.45,0.01,1.18
CZE,Czech Republic,0.01,20.43,16.7,1.26,6.6,0.5,23.71,0.01,,10.26,0.2
DNK,Denmark,0.01,19.07,23.14,6.27,9.57,0.36,11.21,0,1.02,1.14,0.52
EST,Estonia,,20.43,22.74,1,8.42,0.34,8.71,,,3.03,0.43
FIN,Finland,0,27.92,16.26,3.03,6.02,0.93,2.81,0,0.18,2.62,1.3
FRA,France,0.02,25.3,29.13,4.52,4.43,1.49,21.1,0.12,0.38,2.56,0.48
MKD,FYRM,,33.24,26,0.6,6.73,3.63,1.53,,3.58,7.44,5.93
DEU,Germany,0.01,20.51,24.3,4.14,8.25,0.93,24.34,0,0.05,4.44,0.71
GRC,Greece,0.01,27.35,21.78,6.45,18.67,3.09,5.92,0.03,3.47,1.38,2.83
HUN,Hungary,,19.95,16.33,1.09,7.94,0.73,35.55,,0.48,2.21,0.08
IRL,Ireland,,19.38,29.1,6.03,11.05,1.52,15.17,7.15,1.03,5.19,1.31
ITA,Italy,0,20.82,21.46,3.2,7.35,3.03,29.67,0.01,1.12,1.99,0.69
LVA,Latvia,,14.67,22.22,3.21,5.75,2.37,8.91,,,1.54,0.05
LTU,Lithuania,,16.26,23.89,1.61,4.47,4.14,10.43,,,5.63,0.2
LUX,Luxembourg,,12.97,49.22,9.05,7.92,0.27,14.55,0.02,,1.14,0
MLT,Malta,,32.41,24.37,21.45,15.2,4.91,,,,,0
MNE,Montenegro,,39.44,24.91,1.95,4.9,2.26,0,,,0.76,1.68
NLD,Netherlands,0,17.85,14.44,6.9,7.73,0.81,38.57,0.09,,2.86,0.11
NOR,Norway,0.01,50.04,23,4.94,5.3,0.95,2.33,0.24,0.1,3.25,0.37
POL,Poland,0.01,16.83,18.09,0.85,5.78,3.87,14.01,0,0.01,19.9,0.21
PRT,Portugal,0.01,24.56,27.47,6.78,7.25,3.84,9.89,0.01,2.11,0.12,1.33
ROU,Romania,0,16.06,19.03,0.97,6.06,1.98,26.11,,0.92,3.37,0.14
SRB,Serbia,0.01,27.82,18.6,0.53,5.06,4.92,12.06,,0.99,7.11,1.16
SVK,Slovakia,,19.85,13.19,0.38,5.21,0.57,29.95,0.01,0.34,13.41,0
SVN,Slovenia,0.02,22.56,34.2,0.54,10.19,1.74,11.28,,0.71,0.97,0.14
ESP,Spain,0.01,24.59,31.86,6.49,5.8,1.82,18.22,,1.55,1.92,0.94
SWE,Sweden,0.01,34.02,13.67,2.83,8.42,1.02,1.57,,,3.35,1.35
GBR,United Kingdom,0.01,20.01,19.36,8.52,9.86,0.63,31.63,2.66,0.3,3.5,0.23
