CountryCode,Country,Agriculture/Forestry,Industry,Residential,Transport,Services,NotSpec
AUT,Austria,2.03,33.2,23.57,31.77,9.44,0
BEL,Belgium,2.06,30.03,25.78,28.03,13.96,0.14
BGR,Bulgaria,2.2,29.52,25.61,31.68,10.99,0
HRV,Croatia,3.42,19.3,29.73,35.24,12.31,0
CYP,Cyprus,2.58,11.56,18.74,53.83,12.34,0.95
CZE,Czech Republic,2.56,31.57,26.4,25.3,13.02,1.14
DNK,Denmark,5.19,15.9,30.78,34.09,13.97,0.07
EST,Estonia,3.82,22.46,32.57,26.55,14.6,0
FIN,Finland,3.07,43.91,20.73,19.71,11.68,0.9
FRA,France,1.26,32.12,25.77,28.28,12.54,0.03
MKD,FYRM,2.53,19.91,28.56,32.19,15.67,1.13
DEU,Germany,0,27.96,27.48,28.82,15.67,0.07
GRC,Greece,1.91,18.52,24.59,41.41,11.88,1.69
HUN,Hungary,3.38,23.56,32.22,24.5,16.27,0.07
IRL,Ireland,2.18,20.33,26.12,39.22,12.14,0
ITA,Italy,2.2,22.78,28.88,32.66,13.37,0.12
LVA,Latvia,3.77,19.96,32.94,27.69,15.61,0.04
LTU,Lithuania,2.21,20.69,31.15,33.21,12.61,0.13
LUX,Luxembourg,0.58,13.15,10.93,61.51,13.84,0
MLT,Malta,0.34,9.98,16.97,59.35,11.25,2.11
MNE,Montenegro,1.18,25.77,41.46,27.17,4.12,0.3
NLD,Netherlands,6.41,26.64,21.14,28.58,17.24,0
NOR,Norway,1.8,32.3,21.5,28.96,14.96,0.47
POL,Poland,5.65,23.77,32.19,25.66,12.73,0
PRT,Portugal,2.09,29.13,16.76,40.54,11.29,0.19
ROU,Romania,2.1,29.02,35.51,24.27,8.21,0.89
SRB,Serbia,2.2,29.8,34.52,24.11,9.38,0
SVK,Slovakia,1.21,39.29,19.77,21.63,18.11,0
SVN,Slovenia,1.56,24.93,24.1,38.87,10.15,0.39
ESP,Spain,3.32,25.88,18.52,39.44,11.8,1.03
SWE,Sweden,1.06,36.28,22.24,26.42,13.99,0
GBR,United Kingdom,0.64,18.84,29.47,37,12.95,1.1
