CountryCode,Country,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE,EnIntensit,Tax,CombHP,ElectrRen,LargGen,ShareRen,AviationGasoline,Electicity,GasDiesel,KeroseneType,Gasoline,LPG,NaturalGas,OtherKerosene,PetroleumKoke,SolidFuel,FuelOil,Agriculture/Forestry,Industry,Residential,Transport,Services,NotSpec,coal,oil,gas,biofuels,waste,nuclear,hydro,geothermal,solar_PV,solar_thermal,wind,tide,other
AUT,Austria,272674.87,418.6,1440.98,27.48,149.98,161.58,1802.84,375.93,123.9,145,14.4,68.1,55.5,32.6,,19.36,26.44,2.43,5.58,0.39,16.34,0.01,0.14,4.12,1.1,2.03,33.2,23.57,31.77,9.44,0,8.6,1.02,13.37,6.06,1.42,0,65.66,0,0.46,0,3.39,0,0.02
BEL,Belgium,321549.97,490.6,800.16,15.03,226.01,65.27,1687.22,408.92,173.1,102.36,15.6,12.3,67,7.9,0.01,19.99,31.42,3.76,3.54,0.61,27.62,0.2,0.16,4.42,0.27,2.06,30.03,25.78,28.03,13.96,0.14,6.58,0.39,28.34,5.41,2.61,48.51,2,0,2.59,0,3.31,0,0.27
BGR,Bulgaria,1815871.44,16010.57,3121.36,,379.35,353.84,2570.57,1720.6,610.6,65.51,5.9,18.9,,19,0.01,26.99,17.71,1.94,5.04,5.04,13.16,0,1.32,4.21,0.48,2.2,29.52,25.61,31.68,10.99,0,48.33,0.46,4.98,0.14,0,33.35,8.4,0,1.72,0,2.58,0,0.03
HRV,Croatia,587198.48,2665.66,1978.66,23.23,999.12,307.83,2389.27,709.34,219.5,87.43,19.9,38.7,84,18,0.02,22.3,28.03,2.24,10.55,2.78,17.09,0.02,1.86,1.99,0.62,3.42,19.3,29.73,35.24,12.31,0,21.2,5.51,23.79,0.89,0,0,45.48,0,0.02,0,3.12,0,0
CYP,Cyprus,1591446.64,7061.43,5776.23,8.07,642.15,262.78,2939.91,1595.07,154.1,141.29,0.6,6.6,100,8.1,,20.88,22.26,15.46,22.87,3.64,0,0.78,6.45,0.01,1.18,2.58,11.56,18.74,53.83,12.34,0.95,0,94.55,0,1.06,0,0,0,0,0.47,0,3.92,0,0
CZE,Czech Republic,1235198.19,3041.92,2310.48,4.17,195.08,108.89,2510.9,1346.14,353.8,79.08,13.1,12.8,58.2,12.4,0.01,20.43,16.7,1.26,6.6,0.5,23.71,0.01,,10.26,0.2,2.56,31.57,26.4,25.3,13.02,1.14,53.78,0.1,1.37,3.75,0.17,34.63,3.27,0,2.45,0,0.48,0,0
DNK,Denmark,777016.96,405.48,2011.48,0.98,676.24,99.71,2249.77,966.44,86.6,303.61,48.8,43.1,41,27.2,0.01,19.07,23.14,6.27,9.57,0.36,11.21,0,1.02,1.14,0.52,5.19,15.9,30.78,34.09,13.97,0.07,34.38,1.31,13.65,11.56,5.28,0,0.06,0,0.34,0,33.42,0,0
EST,Estonia,2280217.39,7209.78,2714.67,38.41,515.04,1250,3056.88,2370.65,512.7,91.12,9.7,13,87,25.6,,20.43,22.74,1,8.42,0.34,8.71,,,3.03,0.43,3.82,22.46,32.57,26.55,14.6,0,86.12,0.48,1.05,8.36,0,0,0.35,0,0,0,3.63,0,0
FIN,Finland,524045.8,1289.13,2184.95,0.15,306.88,282.58,1435.86,621.62,205.9,127.63,34.5,31.1,25.3,36.8,0,27.92,16.26,3.03,6.02,0.93,2.81,0,0.18,2.62,1.3,3.07,43.91,20.73,19.71,11.68,0.9,16.01,0.44,9.55,15.41,0.81,32.65,23.95,0,0.01,0,0.7,0,0.47
FRA,France,122524.15,735.85,804.28,4.67,191.47,80.47,1392.75,208.86,143,161.6,2.7,16.9,83.8,14.2,0.02,25.3,29.13,4.52,4.43,1.49,21.1,0.12,0.38,2.56,0.48,1.26,32.12,25.77,28.28,12.54,0.03,3.84,0.77,3.87,0.54,0.79,75.39,11.27,0,0.71,0,2.64,0.08,0.11
